136 5
k mu power error
4.77534e-01 4.99803e-01 1.26310e+03 9.24657e+00
4.82537e-01 5.00345e-01 1.22782e+03 9.18409e+00
4.87534e-01 4.99162e-01 1.20690e+03 8.87280e+00
4.92557e-01 5.01019e-01 1.16131e+03 8.84181e+00
4.97508e-01 4.98770e-01 1.13972e+03 8.60308e+00
5.02509e-01 5.01238e-01 1.10429e+03 8.45596e+00
5.07531e-01 4.98790e-01 1.08641e+03 8.33234e+00
5.12473e-01 5.00203e-01 1.07540e+03 8.23578e+00
5.17511e-01 5.00645e-01 1.03787e+03 8.03668e+00
5.22506e-01 4.99505e-01 1.03141e+03 7.92624e+00
5.27532e-01 5.00558e-01 9.94067e+02 7.79401e+00
5.32559e-01 4.99430e-01 9.74793e+02 7.62753e+00
5.37555e-01 5.00703e-01 9.50332e+02 7.61391e+00
5.42528e-01 4.99600e-01 9.28228e+02 7.40426e+00
5.47496e-01 5.00915e-01 9.09473e+02 7.37776e+00
5.52501e-01 4.99269e-01 8.83764e+02 7.17725e+00
5.57464e-01 4.99887e-01 8.67043e+02 7.11801e+00
5.62503e-01 5.00756e-01 8.39552e+02 6.95203e+00
5.67489e-01 4.98734e-01 8.29029e+02 6.89348e+00
5.72507e-01 5.00951e-01 8.04555e+02 6.75655e+00
5.77549e-01 4.99670e-01 7.86853e+02 6.65836e+00
5.82524e-01 4.99957e-01 7.67198e+02 6.61856e+00
5.87517e-01 4.99956e-01 7.68482e+02 6.51877e+00
5.92496e-01 5.00716e-01 7.42780e+02 6.42961e+00
5.97522e-01 4.99415e-01 7.24781e+02 6.31211e+00
6.02495e-01 4.99917e-01 6.97469e+02 6.22970e+00
6.07518e-01 5.00315e-01 6.84268e+02 6.14795e+00
6.12494e-01 4.98797e-01 6.74066e+02 6.06730e+00
6.17499e-01 5.01384e-01 6.54473e+02 5.98570e+00
6.22522e-01 4.99540e-01 6.56819e+02 5.93449e+00
6.27500e-01 5.00066e-01 6.30309e+02 5.84719e+00
6.32529e-01 5.00214e-01 6.08067e+02 5.74044e+00
6.37525e-01 5.00008e-01 5.92799e+02 5.67245e+00
6.42496e-01 4.99999e-01 5.75690e+02 5.66009e+00
6.47469e-01 4.99763e-01 5.73771e+02 5.50895e+00
6.52526e-01 5.00419e-01 5.62155e+02 5.50307e+00
6.57502e-01 4.98690e-01 5.38136e+02 5.40222e+00
6.62499e-01 5.01127e-01 5.28123e+02 5.34546e+00
6.67531e-01 4.99800e-01 5.19222e+02 5.27508e+00
6.72499e-01 4.99731e-01 5.03078e+02 5.23079e+00
6.77516e-01 5.00749e-01 4.89501e+02 5.15197e+00
6.82515e-01 4.99502e-01 4.78680e+02 5.08251e+00
6.87521e-01 5.00121e-01 4.75677e+02 5.07811e+00
6.92504e-01 4.99789e-01 4.61395e+02 4.98245e+00
6.97530e-01 5.00555e-01 4.50649e+02 4.94318e+00
2.30302e-02 7.22283e-01 8.30596e+04 5.51386e+03
2.82500e-02 6.87598e-01 6.93293e+04 2.92674e+03
3.28279e-02 6.94775e-01 6.09839e+04 2.89128e+03
3.73296e-02 6.96501e-01 5.54236e+04 1.86498e+03
4.25452e-02 6.96598e-01 4.78800e+04 1.50123e+03
4.74022e-02 7.16588e-01 4.49876e+04 1.26544e+03
5.23376e-02 6.93763e-01 4.14701e+04 1.02181e+03
5.76735e-02 6.97882e-01 3.85303e+04 8.21112e+02
6.27766e-02 7.03883e-01 3.62637e+04 8.01898e+02
